Episode,Reward,Length,TotalSteps
0,5.0,7,8
1,7.4,9,17
2,6.6,7,24
3,3.6,4,28
4,1.6,2,30
5,2.8,4,34
6,3.0,3,37
7,2.0,2,39
8,9.8,11,50
9,11.0,13,63
10,3.6,4,67
11,3.6,4,71
12,6.6,7,78
13,3.8,5,83
14,2.6,3,86
15,5.0,5,91
16,5.2,6,97
17,5.6,6,103
18,1.8,3,106
19,8.8,10,116
20,11.8,13,129
21,4.2,5,134
22,4.2,5,139
23,7.8,9,148
24,2.6,3,151
25,7.4,9,160
26,1.0,1,161
27,11.8,13,174
28,3.6,4,178
29,8.0,8,186
30,13.0,17,203
31,3.6,4,207
32,11.4,13,220
33,3.6,4,224
34,2.6,3,227
35,7.2,8,235
36,13.6,14,249
37,9.0,9,258
38,3.2,4,262
39,3.2,4,266
40,12.6,15,281
41,2.6,3,284
42,5.8,7,291
43,10.0,12,303
44,6.4,8,311
45,7.0,9,320
46,3.2,4,324
47,11.8,13,337
48,7.6,10,347
49,12.4,14,361
50,2.2,3,364
51,3.6,4,368
52,6.4,8,376
53,1.0,1,377
54,14.4,16,393
55,2.6,3,396
56,1.6,2,398
57,2.0,2,400
58,3.0,3,403
59,2.6,3,406
60,4.4,6,412
61,8.2,9,421
62,9.0,11,432
63,10.2,11,443
64,20.8,24,467
65,2.8,4,471
66,7.2,8,479
67,4.2,5,484
68,4.0,4,488
69,6.0,6,494
70,20.0,22,516
71,3.0,3,519
72,2.0,2,521
73,6.2,7,528
74,6.8,8,536
75,5.8,7,543
76,3.2,4,547
77,2.2,3,550
78,6.4,8,558
79,1.0,1,559
80,4.2,5,564
81,3.4,5,569
82,15.4,17,586
83,5.0,7,593
84,8.0,10,603
85,1.2,2,605
86,12.2,15,620
87,6.0,6,626
88,6.6,7,633
89,1.0,1,634
90,3.0,3,637
91,6.2,7,644
92,6.6,7,651
93,7.2,8,659
94,8.0,8,667
95,7.8,9,676
96,4.8,6,682
97,5.8,7,689
98,21.2,26,715
99,9.4,11,726
100,13.4,15,741
101,4.0,4,745
102,6.0,6,751
103,5.6,6,757
104,0.6,1,758
105,8.8,10,768
106,4.6,5,773
107,1.6,2,775
108,5.0,5,780
109,8.8,10,790
110,3.6,4,794
111,3.6,4,798
112,6.2,7,805
113,1.0,1,806
114,9.8,11,817
115,4.2,5,822
116,5.2,6,828
117,7.6,8,836
118,3.8,5,841
119,2.2,3,844
120,14.6,17,861
121,11.2,12,873
122,6.8,8,881
123,2.2,3,884
124,3.8,5,889
125,8.2,9,898
126,5.0,5,903
127,3.2,4,907
128,5.8,7,914
129,4.6,5,919
130,14.4,16,935
131,1.6,2,937
132,4.0,4,941
133,8.4,10,951
134,3.6,4,955
135,6.8,8,963
136,10.0,12,975
137,1.0,1,976
138,4.0,4,980
139,4.0,4,984
140,4.0,4,988
141,5.2,6,994
142,3.0,3,997
143,0.6,1,998
144,5.8,7,1005
145,6.6,7,1012
146,4.2,5,1017
147,2.2,3,1020
148,6.2,7,1027
149,4.2,5,1032
150,6.0,6,1038
151,3.6,4,1042
152,5.8,7,1049
153,4.6,5,1054
154,7.8,9,1063
155,5.0,5,1068
156,3.8,5,1073
157,3.6,4,1077
158,5.0,7,1084
159,3.4,5,1089
160,3.2,4,1093
161,8.4,10,1103
162,1.6,2,1105
163,7.8,9,1114
164,18.2,19,1133
165,2.0,2,1135
166,16.6,19,1154
167,3.2,4,1158
168,1.6,2,1160
169,7.2,8,1168
170,6.8,8,1176
171,4.2,5,1181
172,4.6,5,1186
173,3.2,4,1190
174,2.6,3,1193
175,5.2,6,1199
176,5.8,7,1206
177,11.0,13,1219
178,7.8,9,1228
179,3.2,4,1232
180,3.6,4,1236
181,6.0,6,1242
182,6.2,7,1249
183,5.2,6,1255
184,13.0,15,1270
185,2.2,3,1273
186,4.6,5,1278
187,2.6,3,1281
188,7.4,9,1290
189,11.6,14,1304
190,1.0,1,1305
191,4.6,5,1310
192,7.6,8,1318
193,4.2,5,1323
194,5.0,5,1328
195,2.2,3,1331
196,4.8,6,1337
197,4.2,5,1342
198,2.0,2,1344
199,4.4,6,1350
200,3.2,4,1354
201,10.0,10,1364
202,10.8,12,1376
203,3.2,4,1380
204,2.6,3,1383
205,3.8,5,1388
206,5.8,7,1395
207,4.6,5,1400
208,3.6,4,1404
209,6.0,8,1412
210,3.6,4,1416
211,5.6,6,1422
212,3.0,3,1425
213,6.8,8,1433
214,3.6,4,1437
215,5.2,6,1443
216,6.8,8,1451
217,2.6,3,1454
218,3.6,4,1458
219,2.6,3,1461
220,1.0,1,1462
221,11.0,13,1475
222,5.6,6,1481
223,7.6,8,1489
224,3.2,4,1493
225,5.2,6,1499
226,11.2,12,1511
227,3.6,4,1515
228,4.0,4,1519
229,7.4,9,1528
230,3.2,4,1532
231,9.6,10,1542
232,4.2,5,1547
233,4.2,5,1552
234,3.6,4,1556
235,19.8,23,1579
236,3.0,3,1582
237,4.2,5,1587
238,1.6,2,1589
239,3.2,4,1593
240,7.0,9,1602
241,12.8,14,1616
242,1.0,1,1617
243,5.4,7,1624
244,10.8,12,1636
245,3.2,4,1640
246,0.6,1,1641
247,9.2,10,1651
248,5.6,6,1657
249,13.8,17,1674
250,7.6,10,1684
251,2.0,2,1686
252,14.0,16,1702
253,9.2,10,1712
254,4.2,5,1717
255,6.6,7,1724
256,3.6,4,1728
257,8.4,10,1738
258,4.6,5,1743
259,4.0,4,1747
260,4.2,5,1752
261,4.2,5,1757
262,2.0,2,1759
263,4.0,4,1763
264,9.6,12,1775
265,7.4,9,1784
266,5.8,7,1791
267,4.0,4,1795
268,10.8,12,1807
269,3.6,4,1811
270,10.0,12,1823
271,6.0,6,1829
272,6.2,7,1836
273,4.2,5,1841
274,1.0,1,1842
275,1.6,2,1844
276,13.6,16,1860
277,7.4,9,1869
278,7.0,7,1876
279,2.6,3,1879
280,3.6,4,1883
281,3.4,5,1888
282,3.2,4,1892
283,0.6,1,1893
284,0.6,1,1894
285,5.2,6,1900
286,5.8,7,1907
287,10.8,12,1919
288,9.2,10,1929
289,5.8,7,1936
290,2.2,3,1939
291,5.2,6,1945
292,2.2,3,1948
293,12.2,13,1961
294,1.0,1,1962
295,5.6,6,1968
296,1.6,2,1970
297,3.8,5,1975
298,3.0,5,1980
299,3.6,4,1984
300,11.4,13,1997
301,2.6,3,2000
302,1.0,1,2001
303,4.2,5,2006
304,4.0,4,2010
305,5.2,6,2016
306,3.6,4,2020
307,8.2,9,2029
308,9.4,11,2040
309,8.2,9,2049
310,5.6,6,2055
311,11.8,13,2068
312,24.2,27,2095
313,26.6,31,2126
314,4.2,5,2131
315,11.0,13,2144
316,37.8,43,2187
317,1.6,2,2189
318,10.8,12,2201
319,3.2,4,2205
320,9.6,10,2215
321,3.6,4,2219
322,4.0,4,2223
323,3.2,4,2227
324,6.0,6,2233
325,11.6,12,2245
326,4.6,5,2250
327,7.2,8,2258
328,7.4,9,2267
329,7.6,8,2275
330,7.8,9,2284
331,10.8,12,2296
332,1.6,2,2298
333,10.4,12,2310
334,3.2,4,2314
335,12.2,13,2327
336,3.6,4,2331
337,9.6,10,2341
338,4.8,6,2347
339,23.4,25,2372
340,17.2,20,2392
341,10.8,12,2404
342,0.6,1,2405
343,6.2,7,2412
344,4.0,4,2416
345,18.2,19,2435
346,7.4,9,2444
347,2.6,3,2447
348,3.6,4,2451
349,4.0,4,2455
350,2.8,4,2459
351,2.2,3,2462
352,3.2,4,2466
353,2.2,3,2469
354,5.2,6,2475
355,6.6,7,2482
356,5.8,7,2489
357,4.0,4,2493
358,2.2,3,2496
359,1.6,2,2498
360,14.0,16,2514
361,10.6,11,2525
362,8.2,9,2534
363,9.0,9,2543
364,3.6,4,2547
365,5.4,7,2554
366,1.6,2,2556
367,9.4,11,2567
368,6.2,7,2574
369,4.2,5,2579
370,11.6,14,2593
371,6.8,8,2601
372,11.2,12,2613
373,15.0,17,2630
374,2.6,3,2633
375,6.2,7,2640
376,7.6,8,2648
377,17.2,18,2666
378,4.0,4,2670
379,2.0,2,2672
380,4.2,5,2677
381,6.6,7,2684
382,2.6,3,2687
383,4.6,5,2692
384,6.8,8,2700
385,1.2,2,2702
386,3.0,3,2705
387,27.0,31,2736
388,3.0,3,2739
389,12.2,13,2752
390,15.0,17,2769
391,5.0,5,2774
392,6.6,7,2781
393,5.2,6,2787
394,5.6,6,2793
395,4.0,4,2797
396,3.0,3,2800
397,9.6,10,2810
398,7.8,9,2819
399,3.8,5,2824
400,10.8,12,2836
401,4.0,4,2840
402,6.2,7,2847
403,2.2,3,2850
404,13.8,15,2865
405,4.2,5,2870
406,17.8,19,2889
407,23.0,27,2916
408,11.2,12,2928
409,13.8,15,2943
410,0.6,1,2944
411,6.8,8,2952
412,9.2,12,2964
413,6.6,7,2971
414,4.8,6,2977
415,33.2,36,3013
416,10.2,11,3024
417,14.2,17,3041
418,5.0,5,3046
419,1.6,2,3048
420,5.6,6,3054
421,3.6,4,3058
422,8.2,9,3067
423,14.0,16,3083
424,1.6,2,3085
425,7.6,8,3093
426,6.2,7,3100
427,5.0,5,3105
428,8.2,9,3114
429,3.0,3,3117
430,24.6,27,3144
431,12.8,14,3158
432,3.6,4,3162
433,6.8,8,3170
434,1.6,2,3172
435,14.8,16,3188
436,5.6,6,3194
437,5.2,6,3200
438,3.6,4,3204
439,15.8,17,3221
440,9.2,10,3231
441,4.0,4,3235
442,8.6,9,3244
443,7.0,7,3251
444,12.8,14,3265
445,7.2,8,3273
446,4.2,5,3278
447,6.6,7,3285
448,8.6,9,3294
449,3.0,3,3297
450,8.0,8,3305
451,4.6,5,3310
452,8.4,10,3320
453,2.6,3,3323
454,27.2,30,3353
455,5.6,6,3359
456,3.8,5,3364
457,28.4,34,3398
458,2.2,3,3401
459,4.0,4,3405
460,6.0,6,3411
461,7.0,7,3418
462,2.0,2,3420
463,3.6,4,3424
464,11.6,12,3436
465,5.8,7,3443
466,16.8,20,3463
467,6.8,8,3471
468,17.4,19,3490
469,7.2,8,3498
470,1.6,2,3500
471,5.0,5,3505
472,9.2,10,3515
473,8.6,9,3524
474,20.4,22,3546
475,7.2,8,3554
476,6.8,8,3562
477,15.2,16,3578
478,8.8,10,3588
479,10.4,12,3600
480,4.2,5,3605
481,13.0,15,3620
482,5.2,6,3626
483,7.2,8,3634
484,3.6,4,3638
485,6.2,7,3645
486,4.8,6,3651
487,5.0,5,3656
488,3.6,4,3660
489,3.6,4,3664
490,15.2,18,3682
491,10.8,12,3694
492,1.0,1,3695
493,5.6,6,3701
494,8.4,10,3711
495,6.8,8,3719
496,6.2,7,3726
497,4.2,5,3731
498,5.4,7,3738
499,2.0,2,3740
500,28.2,33,3773
501,7.0,7,3780
502,3.0,3,3783
503,0.6,1,3784
504,5.6,6,3790
505,13.6,16,3806
506,7.8,9,3815
507,2.0,2,3817
508,11.0,13,3830
509,11.4,13,3843
510,5.2,6,3849
511,7.2,8,3857
512,14.2,17,3874
513,11.0,11,3885
514,9.8,11,3896
515,2.2,3,3899
516,10.8,12,3911
517,5.4,7,3918
518,7.2,8,3926
519,5.2,6,3932
520,21.4,23,3955
521,7.2,8,3963
522,9.0,11,3974
523,15.0,17,3991
524,6.0,6,3997
525,4.0,4,4001
526,1.0,1,4002
527,8.8,10,4012
528,3.6,4,4016
529,6.2,7,4023
530,15.0,17,4040
531,6.8,8,4048
532,6.4,8,4056
533,5.8,7,4063
534,12.0,14,4077
535,5.8,7,4084
536,4.0,4,4088
537,4.6,5,4093
538,5.2,6,4099
539,11.6,12,4111
540,2.8,4,4115
541,5.6,6,4121
542,1.0,1,4122
543,4.0,4,4126
544,4.0,4,4130
545,29.4,33,4163
546,3.0,3,4166
547,12.4,14,4180
548,10.0,12,4192
549,3.2,4,4196
550,11.0,13,4209
551,6.2,7,4216
552,5.6,6,4222
553,6.0,8,4230
554,9.2,10,4240
555,6.2,7,4247
556,12.8,14,4261
557,28.0,32,4293
558,25.4,29,4322
559,13.2,14,4336
560,11.6,12,4348
561,11.4,13,4361
562,10.2,11,4372
563,3.8,5,4377
564,5.0,5,4382
565,8.4,10,4392
566,11.6,12,4404
567,8.8,10,4414
568,21.0,23,4437
569,7.2,8,4445
570,4.2,5,4450
571,2.0,2,4452
572,7.2,8,4460
573,10.6,11,4471
574,9.0,11,4482
575,14.4,16,4498
576,6.4,8,4506
577,5.6,6,4512
578,5.6,6,4518
579,3.6,4,4522
580,17.0,19,4541
581,8.6,9,4550
582,6.2,7,4557
583,7.8,9,4566
584,5.2,6,4572
585,4.0,4,4576
586,1.0,1,4577
587,8.0,8,4585
588,1.0,1,4586
589,5.0,5,4591
590,10.2,11,4602
591,5.0,5,4607
592,15.4,17,4624
593,6.2,7,4631
594,2.6,3,4634
595,14.8,16,4650
596,8.8,10,4660
597,13.6,14,4674
598,5.2,6,4680
599,4.6,5,4685
600,8.6,9,4694
601,12.6,15,4709
602,10.8,12,4721
603,1.6,2,4723
604,1.0,1,4724
605,3.0,3,4727
606,17.6,20,4747
607,6.6,7,4754
608,6.8,8,4762
609,7.0,7,4769
610,6.6,7,4776
611,17.2,18,4794
612,13.8,15,4809
613,9.0,11,4820
614,3.0,3,4823
615,11.2,12,4835
616,5.0,5,4840
617,23.2,26,4866
618,17.8,21,4887
619,3.0,3,4890
620,2.0,2,4892
621,3.6,4,4896
622,1.0,1,4897
623,6.2,7,4904
624,5.6,6,4910
625,4.0,4,4914
626,6.8,8,4922
627,4.8,6,4928
628,5.0,5,4933
629,4.6,5,4938
630,6.6,7,4945
631,9.8,11,4956
632,10.4,12,4968
633,11.4,13,4981
634,0.6,1,4982
635,1.6,2,4984
636,2.6,3,4987
637,11.2,12,4999
638,3.8,5,5004
639,3.6,4,5008
640,9.0,9,5017
641,9.2,10,5027
642,20.0,22,5049
643,7.2,8,5057
644,13.4,15,5072
645,2.0,2,5074
646,13.0,15,5089
647,11.2,12,5101
648,3.6,4,5105
649,10.6,13,5118
650,4.0,4,5122
651,11.8,13,5135
652,29.6,34,5169
653,10.4,12,5181
654,9.8,11,5192
655,11.8,13,5205
656,1.0,1,5206
657,4.6,5,5211
658,8.2,9,5220
659,8.6,9,5229
660,18.2,19,5248
661,6.2,7,5255
662,4.0,4,5259
663,16.8,18,5277
664,7.2,8,5285
665,18.0,20,5305
666,4.0,4,5309
667,3.6,4,5313
668,12.8,14,5327
669,6.6,9,5336
670,3.6,4,5340
671,4.2,5,5345
672,19.8,21,5366
673,3.0,3,5369
674,9.2,10,5379
675,6.0,6,5385
676,7.4,9,5394
677,4.6,5,5399
678,8.0,8,5407
679,10.8,12,5419
680,11.0,13,5432
681,10.6,13,5445
682,2.2,3,5448
683,0.6,1,5449
684,17.4,19,5468
685,5.0,5,5473
686,5.6,6,5479
687,8.6,9,5488
688,6.8,8,5496
689,4.0,4,5500
690,5.0,5,5505
691,11.8,15,5520
692,12.0,14,5534
693,4.6,5,5539
694,0.6,1,5540
695,3.6,4,5544
696,7.8,9,5553
697,11.4,13,5566
698,8.2,9,5575
699,27.6,32,5607
700,11.6,14,5621
701,5.6,6,5627
702,10.4,12,5639
703,1.0,1,5640
704,16.0,18,5658
705,10.8,12,5670
706,8.2,9,5679
707,13.8,15,5694
708,5.2,6,5700
709,4.6,5,5705
710,3.6,4,5709
711,5.6,6,5715
712,9.8,11,5726
713,10.6,11,5737
714,5.6,6,5743
715,5.6,6,5749
716,3.6,4,5753
717,4.6,5,5758
718,13.2,16,5774
719,6.2,7,5781
720,8.2,11,5792
721,3.6,4,5796
722,8.2,9,5805
723,5.6,6,5811
724,9.4,11,5822
725,2.0,2,5824
726,4.0,4,5828
727,5.6,6,5834
728,25.8,29,5863
729,9.8,11,5874
730,10.2,13,5887
731,14.8,16,5903
732,9.8,11,5914
733,4.6,5,5919
734,12.8,14,5933
735,4.0,4,5937
736,11.2,12,5949
737,9.4,11,5960
738,10.2,11,5971
739,5.2,6,5977
740,7.6,8,5985
741,4.0,4,5989
742,10.4,12,6001
743,9.8,11,6012
744,8.0,8,6020
745,8.2,9,6029
746,5.6,6,6035
747,2.2,3,6038
748,0.6,1,6039
749,17.4,19,6058
750,5.6,6,6064
751,3.6,4,6068
752,1.6,2,6070
753,3.0,3,6073
754,17.6,20,6093
755,12.0,14,6107
756,4.6,5,6112
757,10.0,10,6122
758,5.8,7,6129
759,3.8,5,6134
760,3.6,4,6138
761,2.2,3,6141
762,5.0,5,6146
763,36.4,42,6188
764,11.8,13,6201
765,4.2,5,6206
766,2.6,3,6209
767,7.6,8,6217
768,4.8,6,6223
769,8.2,9,6232
770,8.2,9,6241
771,4.6,5,6246
772,14.0,14,6260
773,6.0,6,6266
774,4.0,4,6270
775,4.6,5,6275
776,2.6,3,6278
777,6.8,8,6286
778,16.4,20,6306
779,13.2,14,6320
780,9.2,10,6330
781,18.8,20,6350
782,8.0,10,6360
783,9.2,10,6370
784,20.2,23,6393
785,6.8,8,6401
786,18.2,21,6422
787,5.2,6,6428
788,12.4,14,6442
789,3.6,4,6446
790,17.2,20,6466
791,7.8,9,6475
792,5.6,6,6481
793,7.6,10,6491
794,5.2,6,6497
795,13.2,16,6513
796,8.2,11,6524
797,9.2,10,6534
798,7.0,7,6541
799,29.2,32,6573
800,0.6,1,6574
801,17.0,19,6593
802,4.6,5,6598
803,3.6,4,6602
804,18.6,21,6623
805,23.8,27,6650
806,15.4,17,6667
807,15.4,17,6684
808,6.8,8,6692
809,3.6,4,6696
810,16.2,17,6713
811,6.6,7,6720
812,8.2,9,6729
813,15.8,17,6746
814,4.2,5,6751
815,23.0,25,6776
816,5.2,6,6782
817,3.0,3,6785
818,7.2,8,6793
819,8.8,10,6803
820,6.6,7,6810
821,4.8,6,6816
822,4.2,5,6821
823,7.0,7,6828
824,4.0,4,6832
825,4.6,5,6837
826,9.8,11,6848
827,3.6,4,6852
828,4.0,4,6856
829,1.0,1,6857
830,2.2,3,6860
831,7.2,8,6868
832,3.6,4,6872
833,7.8,9,6881
834,5.6,6,6887
835,6.4,8,6895
836,4.6,5,6900
837,10.2,11,6911
838,9.0,9,6920
839,18.2,21,6941
840,13.2,14,6955
841,11.0,13,6968
842,6.0,6,6974
843,6.6,7,6981
844,7.8,9,6990
845,7.8,9,6999
846,7.2,8,7007
847,12.8,14,7021
848,10.2,11,7032
849,6.0,6,7038
850,27.4,31,7069
851,6.0,6,7075
852,17.4,19,7094
853,14.4,16,7110
854,11.0,13,7123
855,4.6,5,7128
856,11.8,13,7141
857,55.8,63,7204
858,8.8,10,7214
859,7.8,9,7223
860,2.2,3,7226
861,6.2,7,7233
862,4.6,5,7238
863,31.6,36,7274
864,6.6,7,7281
865,4.6,5,7286
866,2.6,3,7289
867,9.2,10,7299
868,9.8,11,7310
869,9.2,10,7320
870,5.2,6,7326
871,5.8,7,7333
872,3.6,4,7337
873,8.6,9,7346
874,23.4,27,7373
875,3.0,3,7376
876,22.4,26,7402
877,23.2,28,7430
878,11.8,13,7443
879,5.6,6,7449
880,16.8,20,7469
881,4.6,5,7474
882,9.2,12,7486
883,8.6,9,7495
884,7.6,10,7505
885,18.6,21,7526
886,1.6,2,7528
887,4.0,4,7532
888,10.8,12,7544
889,1.8,3,7547
890,16.0,18,7565
891,20.8,22,7587
892,5.0,5,7592
893,6.6,7,7599
894,16.8,20,7619
895,13.8,15,7634
896,6.0,8,7642
897,6.6,7,7649
898,15.0,17,7666
899,7.2,8,7674
900,8.0,10,7684
901,11.0,13,7697
902,1.0,1,7698
903,9.8,11,7709
904,19.6,20,7729
905,22.4,26,7755
906,21.4,25,7780
907,3.6,4,7784
908,1.0,1,7785
909,18.4,20,7805
910,5.2,6,7811
911,5.0,5,7816
912,13.8,15,7831
913,32.8,38,7869
914,6.8,8,7877
915,3.6,4,7881
916,1.0,1,7882
917,5.2,6,7888
918,4.6,5,7893
919,1.0,1,7894
920,6.2,7,7901
921,11.4,13,7914
922,16.4,18,7932
923,5.2,6,7938
924,8.0,10,7948
925,13.8,15,7963
926,0.6,1,7964
927,7.0,7,7971
928,17.6,20,7991
929,12.6,15,8006
930,7.8,9,8015
931,1.0,1,8016
932,6.8,8,8024
933,16.6,21,8045
934,10.6,13,8058
935,22.8,26,8084
936,3.6,4,8088
937,16.0,18,8106
938,5.2,6,8112
939,4.2,5,8117
940,6.4,8,8125
941,6.2,7,8132
942,5.8,7,8139
943,8.2,9,8148
944,12.6,13,8161
945,6.8,8,8169
946,2.6,3,8172
947,11.2,12,8184
948,11.8,13,8197
949,5.8,7,8204
950,7.0,7,8211
951,14.4,16,8227
952,3.2,4,8231
953,9.2,10,8241
954,9.6,10,8251
955,9.2,10,8261
956,17.8,21,8282
957,4.6,5,8287
958,16.6,19,8306
959,7.2,8,8314
960,13.6,16,8330
961,16.8,18,8348
962,9.2,10,8358
963,8.2,9,8367
964,8.4,10,8377
965,8.6,9,8386
966,5.2,6,8392
967,10.8,12,8404
968,31.4,35,8439
969,5.6,6,8445
970,18.2,21,8466
971,10.6,11,8477
972,7.6,8,8485
973,7.4,9,8494
974,3.6,4,8498
975,14.6,15,8513
976,11.2,12,8525
977,5.2,6,8531
978,5.6,6,8537
979,9.2,10,8547
980,5.2,6,8553
981,23.6,26,8579
982,24.8,28,8607
983,9.4,11,8618
984,5.2,6,8624
985,16.8,20,8644
986,6.0,6,8650
987,14.8,18,8668
988,11.6,12,8680
989,5.6,6,8686
990,11.6,12,8698
991,9.6,10,8708
992,1.0,1,8709
993,4.6,5,8714
994,3.0,3,8717
995,20.8,24,8741
996,5.8,7,8748
997,6.4,8,8756
998,18.6,21,8777
999,7.2,8,8785
1000,1.0,1,8786
1001,11.4,13,8799
1002,9.4,11,8810
1003,8.0,10,8820
1004,7.0,7,8827
1005,10.6,13,8840
1006,5.6,6,8846
1007,1.0,1,8847
1008,6.6,7,8854
1009,13.8,15,8869
1010,9.8,11,8880
1011,7.2,8,8888
1012,29.6,32,8920
1013,8.0,8,8928
1014,19.6,22,8950
1015,3.6,4,8954
1016,6.6,7,8961
1017,19.0,23,8984
1018,19.0,21,9005
1019,10.2,11,9016
1020,7.0,7,9023
1021,4.0,4,9027
1022,8.8,10,9037
1023,17.4,19,9056
1024,5.8,7,9063
1025,4.2,5,9068
1026,4.6,5,9073
1027,4.0,4,9077
1028,10.2,11,9088
1029,0.6,1,9089
1030,5.6,6,9095
1031,16.0,18,9113
1032,18.6,21,9134
1033,28.8,32,9166
1034,29.4,33,9199
1035,14.4,16,9215
1036,29.2,32,9247
1037,9.2,10,9257
1038,7.8,9,9266
1039,11.0,13,9279
1040,40.4,46,9325
1041,35.2,42,9367
1042,17.4,21,9388
1043,6.2,7,9395
1044,1.0,1,9396
1045,7.6,8,9404
1046,5.6,6,9410
1047,5.0,5,9415
1048,50.6,57,9472
1049,6.6,7,9479
1050,30.0,34,9513
1051,30.2,33,9546
1052,5.2,6,9552
1053,7.6,8,9560
1054,1.0,1,9561
1055,6.4,8,9569
1056,13.8,15,9584
1057,21.8,25,9609
1058,3.6,4,9613
1059,8.2,9,9622
1060,1.0,1,9623
1061,13.4,15,9638
1062,15.4,17,9655
1063,9.4,11,9666
1064,5.8,7,9673
1065,9.8,11,9684
1066,4.2,5,9689
1067,18.4,20,9709
1068,11.4,13,9722
1069,5.6,8,9730
1070,5.2,6,9736
1071,7.6,8,9744
1072,6.2,7,9751
1073,17.8,21,9772
1074,7.8,9,9781
1075,12.4,14,9795
1076,16.8,18,9813
1077,5.0,5,9818
1078,7.0,7,9825
1079,12.6,13,9838
1080,5.0,5,9843
1081,5.8,7,9850
1082,4.2,5,9855
1083,9.0,9,9864
1084,10.6,13,9877
1085,0.6,1,9878
1086,5.0,5,9883
1087,39.8,45,9928
1088,5.2,6,9934
1089,44.8,54,9988
1090,2.0,2,9990
1091,13.0,15,10005
1092,9.2,10,10015
1093,19.2,22,10037
1094,16.0,18,10055
1095,7.6,8,10063
1096,5.2,6,10069
1097,3.2,4,10073
1098,10.4,12,10085
1099,33.0,37,10122
1100,6.0,6,10128
1101,1.0,1,10129
1102,5.2,6,10135
1103,6.0,6,10141
1104,13.2,14,10155
1105,3.6,4,10159
1106,12.0,14,10173
1107,23.4,27,10200
1108,12.0,14,10214
1109,10.8,12,10226
1110,6.6,7,10233
1111,17.0,19,10252
1112,6.2,7,10259
1113,1.0,1,10260
1114,4.6,5,10265
1115,6.2,7,10272
1116,7.4,9,10281
1117,6.2,7,10288
1118,10.6,11,10299
1119,5.6,6,10305
1120,14.0,16,10321
1121,4.6,5,10326
1122,5.2,6,10332
1123,9.8,11,10343
1124,9.4,11,10354
1125,1.6,2,10356
1126,4.6,5,10361
1127,3.0,3,10364
1128,7.2,8,10372
1129,21.4,23,10395
1130,12.2,13,10408
1131,16.0,18,10426
1132,14.8,16,10442
1133,24.8,28,10470
1134,14.8,16,10486
1135,0.6,1,10487
1136,0.6,1,10488
1137,5.2,6,10494
1138,11.4,13,10507
1139,23.2,28,10535
1140,7.0,7,10542
1141,15.4,17,10559
1142,5.6,6,10565
1143,16.8,18,10583
1144,4.0,6,10589
1145,15.2,16,10605
1146,5.2,6,10611
1147,13.0,15,10626
1148,11.8,13,10639
1149,4.0,4,10643
1150,12.0,12,10655
1151,9.2,10,10665
1152,14.6,17,10682
1153,12.2,13,10695
1154,1.0,1,10696
1155,33.4,39,10735
1156,4.0,4,10739
1157,6.6,7,10746
1158,2.6,3,10749
1159,11.8,13,10762
1160,10.8,12,10774
1161,6.2,7,10781
1162,21.6,24,10805
1163,18.2,19,10824
1164,5.6,6,10830
1165,39.2,44,10874
1166,2.6,3,10877
1167,12.4,14,10891
1168,3.6,4,10895
1169,9.2,10,10905
1170,18.2,21,10926
1171,20.4,24,10950
1172,1.0,1,10951
1173,19.4,23,10974
1174,4.6,5,10979
1175,12.2,13,10992
1176,12.2,13,11005
